id,behavior,terrainType,encounterType
7,MB_DOWN_LEFT_STAIR_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
19,MB_SOUTH_ARROW_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
29,MB_UP_RIGHT_STAIR_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
42,MB_WINDOW,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
48,MB_DRESSER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
49,MB_KITCHEN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
50,MB_KITCHEN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
51,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
52,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
53,MB_TELEVISION,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
54,MB_CABINET,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
55,MB_CABINET,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
96,MB_CAVE_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
97,MB_TELEVISION,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
98,MB_PC,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
99,MB_PC,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
111,MB_COMPUTER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
115,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
116,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
117,MB_COMPUTER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
127,MB_CUP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
137,MB_SOUTH_ARROW_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
151,MB_COMPUTER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
160,MB_PORTHOLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
164,MB_REGION_MAP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
165,MB_REGION_MAP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
166,MB_SIGNPOST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
179,MB_DRESSER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
180,MB_CABINET,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
181,MB_CABINET,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
182,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
183,MB_FOOD,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
192,MB_PORTHOLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
193,MB_PAINTING,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
220,MB_DOWN_LEFT_STAIR_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
224,MB_KITCHEN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
225,MB_KITCHEN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
229,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
230,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
231,MB_SOUTH_ARROW_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
242,MB_UP_RIGHT_STAIR_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
248,MB_PAINTING,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
249,MB_PAINTING,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
275,MB_DRESSER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
276,MB_CABINET,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
277,MB_CABINET,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
278,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
279,MB_FOOD,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
289,MB_PAINTING,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
316,MB_DOWN_LEFT_STAIR_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
320,MB_KITCHEN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
321,MB_KITCHEN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
325,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
326,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
327,MB_SOUTH_ARROW_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
338,MB_UP_RIGHT_STAIR_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
344,MB_PAINTING,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
345,MB_PAINTING,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
360,MB_WINDOW,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
361,MB_PORTHOLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
363,MB_CAVE_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
376,MB_REGION_MAP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
377,MB_REGION_MAP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
383,MB_CAVE_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
389,MB_PAINTING,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
393,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
401,MB_BOOKSHELF,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
600,MB_UP_RIGHT_STAIR_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
604,MB_UP_LEFT_STAIR_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
605,MB_DOWN_RIGHT_STAIR_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
