id,behavior,terrainType,encounterType
2,MB_SIGNPOST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
3,MB_SIGNPOST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
10,MB_TALL_GRASS,TILE_TERRAIN_GRASS,TILE_ENCOUNTER_LAND
11,MB_TALL_GRASS,TILE_TERRAIN_GRASS,TILE_ENCOUNTER_LAND
12,MB_TALL_GRASS,TILE_TERRAIN_GRASS,TILE_ENCOUNTER_LAND
13,MB_TALL_GRASS,TILE_TERRAIN_GRASS,TILE_ENCOUNTER_LAND
61,MB_WARP_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
64,MB_POKEMART_SIGN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
65,MB_POKEMART_SIGN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
96,MB_POKEMON_CENTER_SIGN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
97,MB_POKEMON_CENTER_SIGN,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
98,MB_WARP_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
116,MB_ROCK_STAIRS,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
131,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
132,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
133,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
134,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
135,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
137,MB_ROCK_STAIRS,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
139,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
140,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
143,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
145,MB_ROCK_STAIRS,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
147,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
148,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
149,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
150,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
151,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
155,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
156,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
163,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
164,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
165,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
166,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
169,MB_CAVE_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
171,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
172,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
176,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
177,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
184,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
185,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
192,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
193,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
200,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
201,MB_JUMP_SOUTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
256,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
257,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
264,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
265,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
266,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
267,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
268,MB_SHALLOW_WATER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
269,MB_SAND,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
270,MB_SHALLOW_WATER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
272,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
273,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
274,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
